#Anno_Riferimento,Tipologia_Amministrazione,Regione_Fornitore,Regione_PA,Provincia_PA,Sigla_provincia_PA,Tipo_Negoziazione,N_negoziazioni_stipulate,N_Contratti_Stipulati,Valore_Base_Asta,Perc_negoziazioni_base_asta_valorizzata,Valore_contratti_stipulati,N_Medio_Fornitori_Partecipanti,N_Fornitori_con_contratti_stipulati,N_PA_Appaltanti,N_PO,Durata_media_negoziazione,Tempi_Medi_Stipula
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","EMILIA ROMAGNA","BOLOGNA","BO","RdO","27","31","1073254,14",,"900449,52","3,77","24","5","9","67,94","9,39"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","EMILIA ROMAGNA","FERRARA","FE","RdO","3","3","19850",,"11915","4,67","2","1","1","36,33","17,67"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","EMILIA ROMAGNA","PARMA","PR","RdO","2","5","22070",,"21870","3","2","1","1","29,6","6,4"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","BASILICATA","EMILIA ROMAGNA","BOLOGNA","BO","RdO","1","1","23000",,"16753,2","8","1","1","1","113","44"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","SAN MARINO","EMILIA ROMAGNA","BOLOGNA","BO","RdO","1","1","3162,5",,"2863,5","2","1","1","1","13","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","BOLOGNA","BO","RdO","44","45","2636216,22",,"2445124,04","2,11","37","7","13","69,09","9,22"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","FERRARA","FE","RdO","14","14","170007,92",,"133749,12","2,5","11","2","3","23,5","1"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","MODENA","MO","RdO","15","32","481616,74",,"474532,95","1,34","20","5","8","89,63","55,31"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","PIACENZA","PC","RdO","1","1","57692,3",,"57060","1","1","1","1","89","14"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","PARMA","PR","RdO","19","20","928255,3",,"779727,51","2,3","18","10","10","37","6,65"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","REGGIO NELL'EMILIA","RE","RdO","11","11","344525,24",,"288829,38","2,09","10","2","2","32,36","0,09"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","EMILIA ROMAGNA","RIMINI","RN","RdO","3","3","170000",,"106934,5","4,33","3","2","2","36","6,67"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TRENTINO ALTO ADIGE","EMILIA ROMAGNA","PARMA","PR","RdO","1","1","200000",,"200000","2","1","1","1","81","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","FRIULI VENEZIA GIULIA","EMILIA ROMAGNA","FERRARA","FE","RdO","1","1","3940",,"2294,26","56","1","1","1","47","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","TRENTINO ALTO ADIGE","BOLZANO/BOZEN","BZ","RdO","2","2","8199",,"7446","3,5","2","2","2","15,5","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","TRENTINO ALTO ADIGE","TRENTO","TN","RdO","1","1","37221",,"37220","1","1","1","1","18","1"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","VENETO","TRENTINO ALTO ADIGE","BOLZANO/BOZEN","BZ","RdO","4","4","216400",,"149075","3","4","3","3","39,5","0,75"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","VENETO","TRENTINO ALTO ADIGE","TRENTO","TN","RdO","9","9","181181,28",,"177639,41","1","6","4","4","15,22","0,78"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TOSCANA","TRENTINO ALTO ADIGE","TRENTO","TN","RdO","1","1","9500",,"8970,65","1","1","1","1","5","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","CAMPANIA","TRENTINO ALTO ADIGE","TRENTO","TN","RdO","1","1","39180",,"28256,62","3","1","1","1","143","3"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PIEMONTE","TRENTINO ALTO ADIGE","TRENTO","TN","RdO","2","2","178428",,"126680","1,5","2","1","1","61,5","42,5"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","TRENTINO ALTO ADIGE","BOLZANO/BOZEN","BZ","RdO","2","2","256000",,"203494","3","2","1","1","56,5","7,5"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","TRENTINO ALTO ADIGE","TRENTO","TN","RdO","3","3","97173,14",,"71952,5","6","3","2","2","44,67","7"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","TRENTINO ALTO ADIGE","TRENTO","TN","RdO","1","1","9300",,"7626","1","1","1","1","17","3"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TRENTINO ALTO ADIGE","TRENTINO ALTO ADIGE","BOLZANO/BOZEN","BZ","RdO","6","6","108625",,"72271,41","1,33","4","3","3","30","0,67"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TRENTINO ALTO ADIGE","TRENTINO ALTO ADIGE","TRENTO","TN","RdO","14","15","982547,02",,"848915,34","1,8","13","5","6","34,73","2,4"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","FRIULI VENEZIA GIULIA","GORIZIA","GO","RdO","1","1","1500",,"1225","3","1","1","1","25","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","FRIULI VENEZIA GIULIA","TRIESTE","TS","RdO","2","2","173600",,"136659","1","2","1","1","11","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","FRIULI VENEZIA GIULIA","UDINE","UD","RdO","1","1","1100",,"1363,75","1","1","1","1","14","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","MARCHE","FRIULI VENEZIA GIULIA","TRIESTE","TS","RdO","1","1","180000",,"180000","1","1","1","1","25","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PUGLIA","FRIULI VENEZIA GIULIA","PORDENONE","PN","RdO","1","1","154000",,"121000","6","1","1","1","23","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PUGLIA","FRIULI VENEZIA GIULIA","TRIESTE","TS","RdO","1","1","13000",,"9933,7","1","1","1","1","14","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PUGLIA","FRIULI VENEZIA GIULIA","UDINE","UD","RdO","1","1","2460",,"2372","8","1","1","1","10","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","UMBRIA","FRIULI VENEZIA GIULIA","GORIZIA","GO","RdO","1","1","6500",,"5196,07","1","1","1","1","39","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","VENETO","FRIULI VENEZIA GIULIA","GORIZIA","GO","RdO","3","3","90922",,"87539,88","1","3","2","3","22","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","VENETO","FRIULI VENEZIA GIULIA","TRIESTE","TS","RdO","7","7","769080",,"687592,97","2,14","6","2","2","34,57","2,71"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","VENETO","FRIULI VENEZIA GIULIA","UDINE","UD","RdO","12","14","372080",,"351962,9","3,36","11","4","4","21,57","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LIGURIA","FRIULI VENEZIA GIULIA","UDINE","UD","RdO","1","1","1800",,"1778","1","1","1","1","9","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","SICILIA","FRIULI VENEZIA GIULIA","TRIESTE","TS","RdO","1","1","95500",,"95000","1","1","1","1","43","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","SICILIA","FRIULI VENEZIA GIULIA","UDINE","UD","RdO","1","1","1000",,"897,5","1","1","1","1","7","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TOSCANA","FRIULI VENEZIA GIULIA","TRIESTE","TS","RdO","2","2","96890",,"81140","1","2","1","1","23","6"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TOSCANA","FRIULI VENEZIA GIULIA","UDINE","UD","RdO","1","1","2520",,"2420","3","1","1","1","19","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","CAMPANIA","FRIULI VENEZIA GIULIA","GORIZIA","GO","RdO","1","1","17821,6",,"15036,88","5","1","1","1","73","52"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","CAMPANIA","FRIULI VENEZIA GIULIA","PORDENONE","PN","RdO","1","1","130050",,"94936,5","5","1","1","1","23","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","CAMPANIA","FRIULI VENEZIA GIULIA","UDINE","UD","RdO","1","1","850",,"855","1","1","1","1","11","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PIEMONTE","FRIULI VENEZIA GIULIA","GORIZIA","GO","RdO","2","2","8950",,"7405,2","2","1","1","1","43,5","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PIEMONTE","FRIULI VENEZIA GIULIA","TRIESTE","TS","RdO","2","2","208650",,"198772","2,5","2","1","1","21","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","SARDEGNA","FRIULI VENEZIA GIULIA","UDINE","UD","RdO","1","1","60000",,"30400","3","1","1","1","68","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","FRIULI VENEZIA GIULIA","GORIZIA","GO","RdO","12","16","199038",,"178491,89","1,56","11","2","4","22,81","0"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","FRIULI VENEZIA GIULIA","TRIESTE","TS","RdO","16","16","1517628",,"1382020,76","1,88","11","2","2","46,44","7,5"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","FRIULI VENEZIA GIULIA","UDINE","UD","RdO","24","35","644030",,"580835,82","1,66","22","2","2","55,31","0,8"
"2019","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","FRIULI VENEZIA GIULIA","GORIZIA","GO","RdO","3","3","11100",,"7543,68","1,33","3","1","1","12,67","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","VENETO","SICILIA","PALERMO","PA","RdO","12","18","468875",,"386192,76","1,67","10","4","4","149","8,39"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","ABRUZZO","SICILIA","MESSINA","ME","RdO","1","1","7500",,"6700","2","1","1","1","41","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","ABRUZZO","SICILIA","PALERMO","PA","RdO","1","1","167460",,"85470","1","1","1","1","428","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","SICILIA","CATANIA","CT","RdO","3","4","46945",,"24449,4","2","3","1","1","314,75","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","SICILIA","MESSINA","ME","RdO","2","2","39800",,"24938,3","4","1","2","2","81","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","SICILIA","PALERMO","PA","RdO","3","7","225400",,"90234","2,14","2","1","1","107,71","19,14"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SICILIA","SICILIA","CATANIA","CT","RdO","77","134","6295926,41",,"4991191,57","2,76","64","3","5","226,98","3,82"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SICILIA","SICILIA","MESSINA","ME","RdO","66","87","3346234,69",,"2419596,07","3,7","49","3","8","91,08","10,23"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SICILIA","SICILIA","PALERMO","PA","RdO","105","129","9476090,23",,"7408984,19","3,39","91","4","12","137,82","10,43"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","TOSCANA","SICILIA","CATANIA","CT","RdO","7","9","138860",,"131107,75","1,56","6","2","2","342,11","7"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","TOSCANA","SICILIA","MESSINA","ME","RdO","4","4","176500",,"120714,8","6,75","4","1","3","56,5","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","TOSCANA","SICILIA","PALERMO","PA","RdO","4","4","64147",,"54785,56","1,75","3","2","3","88,25","5,5"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CALABRIA","SICILIA","CATANIA","CT","RdO","4","5","369417,99",,"295073,29","5,2","3","1","1","197,4","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CALABRIA","SICILIA","MESSINA","ME","RdO","1","1","700",,"472,5","5","1","1","1","17","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CALABRIA","SICILIA","PALERMO","PA","RdO","3","4","349000",,"143537","7","3","3","3","97,25","8"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CAMPANIA","SICILIA","CATANIA","CT","RdO","7","13","147905",,"99366,08","2,85","5","2","2","274,08","5,31"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CAMPANIA","SICILIA","MESSINA","ME","RdO","6","6","204167,8",,"143638,28","8,33","5","2","4","127","23,5"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CAMPANIA","SICILIA","PALERMO","PA","RdO","4","4","34400",,"28150,6","3,5","3","3","4","129,5","2,25"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PIEMONTE","SICILIA","CATANIA","CT","RdO","4","10","63113,5",,"62367,4","1,2","4","3","3","165,3","0,1"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PIEMONTE","SICILIA","MESSINA","ME","RdO","4","4","105460",,"102516,95","10","4","1","2","43,75","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PIEMONTE","SICILIA","PALERMO","PA","RdO","5","13","211200",,"178836,8","1,15","5","2","2","131,85","5,92"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SARDEGNA","SICILIA","CATANIA","CT","RdO","1","1","10230",,"10120","2","1","1","1","207","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SARDEGNA","SICILIA","MESSINA","ME","RdO","2","2","67000",,"39907","9,5","2","1","1","66","0,5"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SVIZZERA","SICILIA","CATANIA","CT","RdO","2","2","45342,4",,"44220","2","1","1","1","23","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SVIZZERA","SICILIA","PALERMO","PA","RdO","1","1","7650",,"3840","2","1","1","1","298","43"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LOMBARDIA","SICILIA","CATANIA","CT","RdO","56","151","2784601,77",,"2393408,2","2,58","48","3","4","382,67","1,09"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LOMBARDIA","SICILIA","MESSINA","ME","RdO","34","45","1259565",,"982038,46","3,09","31","3","5","119,78","39,87"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LOMBARDIA","SICILIA","PALERMO","PA","RdO","46","62","1625654,54",,"1433179,64","2,21","43","4","6","154,39","8,37"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","BASILICATA","SICILIA","MESSINA","ME","RdO","1","1","3600",,"1500","12","1","1","1","34","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SAN MARINO","SICILIA","PALERMO","PA","RdO","1","1","39950",,"39141","2","1","1","1","64","1"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PAESI BASSI","SICILIA","CATANIA","CT","RdO","1","1","5670",,"4500","1","1","1","1","217","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PAESI BASSI","SICILIA","MESSINA","ME","RdO","1","1","8250",,"8100","1","1","1","1","35","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","REGNO UNITO","SICILIA","CATANIA","CT","RdO","2","7","14930",,"8719","1,57","1","1","1","208,86","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","EMILIA ROMAGNA","SICILIA","CATANIA","CT","RdO","11","15","454037,5",,"426005,65","2,47","10","2","2","382,2","0,33"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","EMILIA ROMAGNA","SICILIA","MESSINA","ME","RdO","7","7","534982,5",,"459691,9","4,57","7","3","5","97,71","6,43"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","EMILIA ROMAGNA","SICILIA","PALERMO","PA","RdO","11","14","766317,5",,"690088,47","2,71","10","3","4","232,14","9,5"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","TRENTINO ALTO ADIGE","SICILIA","CATANIA","CT","RdO","2","39","95318,83",,"83746,95","3,95","2","2","2","666,77","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","FRIULI VENEZIA GIULIA","SICILIA","CATANIA","CT","RdO","2","2","7200",,"4094","3,5","2","1","1","427,5","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","FRIULI VENEZIA GIULIA","SICILIA","PALERMO","PA","RdO","2","2","127800",,"114474","1,5","2","1","2","87","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","MARCHE","TOSCANA","PISA","PI","RdO","1","1","37914,5",,"16250,15","13","1","1","1","68","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","VENETO","TOSCANA","FIRENZE","FI","RdO","1","1","15000",,"12402","17","1","1","1","49","38"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","VENETO","TOSCANA","PISA","PI","RdO","2","2","41850",,"40444","6,5","2","1","2","28","0,5"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","TOSCANA","PISA","PI","RdO","1","1","17336,2",,"6587,76","14","1","1","1","84","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SICILIA","TOSCANA","FIRENZE","FI","RdO","2","2","90230,1",,"77201","1","2","2","2","125,5","107"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","TOSCANA","TOSCANA","FIRENZE","FI","RdO","3","3","262388,03",,"168434,67","7","3","2","2","127,33","75,33"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","TOSCANA","TOSCANA","PISA","PI","RdO","1","1","86110",,"61785,34","3","1","1","1","56","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CALABRIA","TOSCANA","FIRENZE","FI","RdO","1","1","1000",,"462","8","1","1","1","8","0"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LOMBARDIA","TOSCANA","PISA","PI","RdO","1","1","839,9",,"802,4","6","1","1","1","67","4"
"2019","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","EMILIA ROMAGNA","TOSCANA","PISA","PI","RdO","1","1","4000",,"3473,82","2","1","1","1","13","1"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","UMBRIA","LAZIO","VITERBO","VT","RdO","7","7","173743",,"157729,41","3","6","1","2","60,71","4,57"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","VENETO","LAZIO","FROSINONE","FR","RdO","3","3","43498",,"35956","2,33","3","1","1","183,67","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","VENETO","LAZIO","LATINA","LT","RdO","5","5","70600",,"40753","6,4","5","1","2","222,4","8,6"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","VENETO","LAZIO","RIETI","RI","RdO","5","5","50300",,"35212,95","2,2","4","1","1","99,2","5"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","VENETO","LAZIO","ROMA","RM","RdO","21","22","571342",,"427895,28","2,5","14","5","10","141,91","21,05"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","VENETO","LAZIO","VITERBO","VT","RdO","4","5","138612,03",,"128476,56","3","3","1","2","121,8","2"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","ABRUZZO","LAZIO","LATINA","LT","RdO","1","2","39500",,"28640","3,5","1","1","1","297","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","ABRUZZO","LAZIO","RIETI","RI","RdO","1","4","48000",,"43640","1","1","1","1","125","10"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","ABRUZZO","LAZIO","ROMA","RM","RdO","2","2","7500",,"5509,08","9,5","2","1","1","168","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","ABRUZZO","LAZIO","VITERBO","VT","RdO","1","1","2070",,"1990","3","1","1","1","89","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","LIGURIA","LAZIO","FROSINONE","FR","RdO","1","1","6500",,"5908","3","1","1","1","58","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","LIGURIA","LAZIO","RIETI","RI","RdO","1","1","40000",,"35040","1","1","1","1","119","49"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","LIGURIA","LAZIO","VITERBO","VT","RdO","1","1","35000",,"25969,6","5","1","1","1","222","6"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","LAZIO","FROSINONE","FR","RdO","2","2","207000",,"128660,96","3,5","2","1","1","128","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","LAZIO","ROMA","RM","RdO","8","9","337749,45",,"291974,39","3,89","8","3","4","166,56","5,89"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","LAZIO","VITERBO","VT","RdO","2","2","43320",,"38125,6","1,5","2","1","2","71,5","16"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","TOSCANA","LAZIO","FROSINONE","FR","RdO","2","2","5260",,"3595,5","1,5","2","1","2","183,5","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","TOSCANA","LAZIO","LATINA","LT","RdO","2","2","34800",,"25114","3,5","2","1","1","218,5","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","TOSCANA","LAZIO","ROMA","RM","RdO","10","10","369500",,"316118,53","2,7","8","5","5","145,8","1,2"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","TOSCANA","LAZIO","VITERBO","VT","RdO","2","5","49440",,"35015,28","1,4","2","1","1","301,8","74,4"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","CALABRIA","LAZIO","ROMA","RM","RdO","4","4","121000",,"86690,76","3","3","2","2","123,25","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","CALABRIA","LAZIO","VITERBO","VT","RdO","1","1","9500",,"3766","14","1","1","1","67","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","CAMPANIA","LAZIO","FROSINONE","FR","RdO","3","4","215050,25",,"178310","2,75","4","1","2","169","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","CAMPANIA","LAZIO","LATINA","LT","RdO","6","6","71471",,"44550,6","5,17","5","1","2","107,67","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","CAMPANIA","LAZIO","RIETI","RI","RdO","6","10","254300",,"163501","2,8","5","1","2","101,6","14,5"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","CAMPANIA","LAZIO","ROMA","RM","RdO","7","7","55900",,"35571,5","5,43","6","4","5","118","0,86"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","CAMPANIA","LAZIO","VITERBO","VT","RdO","6","6","101568,21",,"60979,76","3,33","5","1","2","57,67","7,33"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","PIEMONTE","LAZIO","LATINA","LT","RdO","1","2","9800",,"6920","6","1","1","1","210","0"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","PIEMONTE","LAZIO","RIETI","RI","RdO","2","4","12850",,"7009,46","2,5","2","1","1","141,75","26,5"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","PIEMONTE","LAZIO","ROMA","RM","RdO","5","8","76508",,"69827,04","1,5","4","4","4","183,5","0,75"
"2019","AZIENDE SANITARIE LOCALI E PROVINCIALI","PIEMONTE","LAZIO","VITERBO","VT","RdO","1","1","180000",,"139650","3","1","1","1","149","7"
