#Anno_Riferimento,Tipologia_Amministrazione,Regione_Fornitore,Regione_PA,Tipo_Negoziazione,N_negoziazioni_stipulate,N_Contratti_Stipulati,Valore_Base_Asta,Perc_negoziazioni_base_asta_valorizzata,Valore_contratti_stipulati,N_Medio_Fornitori_Partecipanti,N_Fornitori_con_contratti_stipulati,N_PA_Appaltanti,N_PO,Durata_media_negoziazione,Tempi_Medi_Stipula
"2018","UNIVERSITA' E POLITECNICI","TRENTINO ALTO ADIGE","ABRUZZO","RdO","2","2","8100",,"6842,21","2","2","1","2","7","0,5"
"2018","UNIVERSITA' E POLITECNICI","FRIULI VENEZIA GIULIA","ABRUZZO","RdO","6","6","70494,22",,"63218,6","16,67","4","3","4","61,17","14,17"
"2018","UNIVERSITA' E POLITECNICI","LAZIO","LIGURIA","RdO","19","22","835498,29",,"788349,83","4,18","17","1","13","48,18","4,95"
"2018","UNIVERSITA' E POLITECNICI","MARCHE","LIGURIA","RdO","4","4","234430",,"202509,68","5","4","1","3","85,5","14"
"2018","UNIVERSITA' E POLITECNICI","MOLISE","LIGURIA","RdO","2","2","5582,8",,"3592,05","9","2","1","2","51,5","0,5"
"2018","UNIVERSITA' E POLITECNICI","PUGLIA","LIGURIA","RdO","13","13","49477,21",,"36879,38","8,38","8","1","10","23,15","0,23"
"2018","UNIVERSITA' E POLITECNICI","UMBRIA","LIGURIA","RdO","4","4","48817",,"37232,7","4,25","4","1","4","52,5","0,5"
"2018","UNIVERSITA' E POLITECNICI","VENETO","LIGURIA","RdO","51","53","1096418,49",,"1018397,1","3,58","20","1","28","32,81","3,98"
"2018","UNIVERSITA' E POLITECNICI","ABRUZZO","LIGURIA","RdO","2","2","9920",,"8318","3","2","1","2","49","2"
"2018","UNIVERSITA' E POLITECNICI","LIGURIA","LIGURIA","RdO","170","170","1950412,49",,"1488810,41","3,46","76","1","46","29,63","2,31"
"2018","UNIVERSITA' E POLITECNICI","SICILIA","LIGURIA","RdO","7","7","32610",,"22982,94","6,29","6","1","4","36,71","2,57"
"2018","UNIVERSITA' E POLITECNICI","TOSCANA","LIGURIA","RdO","7","7","16951",,"13080,56","3,14","5","1","6","16,14","0,57"
"2018","UNIVERSITA' E POLITECNICI","CALABRIA","LIGURIA","RdO","6","6","23150",,"17545","7,67","3","1","2","34","1,5"
"2018","UNIVERSITA' E POLITECNICI","CAMPANIA","LIGURIA","RdO","14","14","508640",,"540728,28","4,07","13","1","9","38,21","4,07"
"2018","UNIVERSITA' E POLITECNICI","PIEMONTE","LIGURIA","RdO","35","37","632287",,"547987,09","4,05","23","1","13","37,08","1,89"
"2018","UNIVERSITA' E POLITECNICI","SARDEGNA","LIGURIA","RdO","1","1","900",,"580,8","1","1","1","1","26","5"
"2018","UNIVERSITA' E POLITECNICI","LOMBARDIA","LIGURIA","RdO","64","68","809022,22",,"621087,68","3,28","44","1","23","29,35","1,6"
"2018","UNIVERSITA' E POLITECNICI","BASILICATA","LIGURIA","RdO","1","1","16400",,"8072,27","7","1","1","1","98","0"
"2018","UNIVERSITA' E POLITECNICI","EMILIA ROMAGNA","LIGURIA","RdO","26","26","431258",,"358836,71","2,65","9","1","13","30,58","1,19"
"2018","UNIVERSITA' E POLITECNICI","TRENTINO ALTO ADIGE","LIGURIA","RdO","4","4","15050",,"11190,71","4","3","1","3","37,5","0,75"
"2018","UNIVERSITA' E POLITECNICI","FRIULI VENEZIA GIULIA","LIGURIA","RdO","9","9","20081",,"18757,62","1,67","3","1","7","21,44","1,67"
"2018","UNIVERSITA' E POLITECNICI","LAZIO","SICILIA","RdO","69","70","420025,65",,"344748,62","2,97","33","3","22","35,57","3,99"
"2018","UNIVERSITA' E POLITECNICI","MARCHE","SICILIA","RdO","13","13","69640,22",,"59414,11","5,23","7","3","8","30,38","2,77"
"2018","UNIVERSITA' E POLITECNICI","MOLISE","SICILIA","RdO","1","1","700",,"559","3","1","1","1","8","0"
"2018","UNIVERSITA' E POLITECNICI","PUGLIA","SICILIA","RdO","39","40","355697,34",,"251990,08","4,9","18","3","18","33","2,83"
"2018","UNIVERSITA' E POLITECNICI","UMBRIA","SICILIA","RdO","3","3","13000",,"10176","3,67","3","2","3","27,33","0,33"
"2018","UNIVERSITA' E POLITECNICI","VENETO","SICILIA","RdO","95","96","217277,95",,"185992,07","4,91","21","3","24","26,08","4,77"
"2018","UNIVERSITA' E POLITECNICI","ABRUZZO","SICILIA","RdO","2","2","1796,39",,"1567,98","2,5","2","2","2","29,5","5"
"2018","PROVINCE","EMILIA ROMAGNA","MARCHE","RdO","7","7","224098,3",,"227074,39","4","5","3","6","29,71","3"
"2018","PROVINCE","TRENTINO ALTO ADIGE","MARCHE","RdO","1","1","0,55",,"55836","1","1","1","1","175","0"
"2018","PROVINCE","MARCHE","MOLISE","RdO","1","1","45000",,"32400","6","1","1","1","60","0"
"2018","PROVINCE","MOLISE","MOLISE","RdO","2","2","20895,61",,"14929,77","5","2","2","2","59","0"
"2018","PROVINCE","ABRUZZO","MOLISE","RdO","1","1","4,5",,"4,2","1","1","1","1","55","27"
"2018","PROVINCE","SICILIA","MOLISE","RdO","3","3","147713,2",,"121966,12","2,33","1","2","2","58,67","16,33"
"2018","PROVINCE","LOMBARDIA","MOLISE","RdO","1","1","34872,48",,"9834,03","3","1","1","1","141","7"
"2018","PROVINCE","LAZIO","PUGLIA","RdO","6","6","402028,64",,"280610,97","4,67","5","4","5","34,5","1,17"
"2018","PROVINCE","PUGLIA","PUGLIA","RdO","80","81","3116690,3",,"2213869,77","5,01","59","6","15","60,93","7,46"
"2018","PROVINCE","VENETO","PUGLIA","RdO","2","2","155187,18",,"117957","2","2","2","2","35","0,5"
"2018","PROVINCE","CAMPANIA","PUGLIA","RdO","2","2","27852,46",,"14637,6","7,5","2","1","2","56","3"
"2018","PROVINCE","PIEMONTE","PUGLIA","RdO","1","1","32000",,"31079,88","1","1","1","1","24","0"
"2018","PROVINCE","SARDEGNA","PUGLIA","RdO","1","1","3000",,"2162","1","1","1","1","9","0"
"2018","PROVINCE","LOMBARDIA","PUGLIA","RdO","2","2","21656,48",,"19742","2","2","2","2","37","2"
"2018","PROVINCE","BASILICATA","PUGLIA","RdO","1","1","28000",,"14980","7","1","1","1","76","0"
"2018","PROVINCE","EMILIA ROMAGNA","PUGLIA","RdO","7","7","363949,43",,"249609,05","4,57","5","4","5","70","4,43"
"2018","PROVINCE","FRIULI VENEZIA GIULIA","PUGLIA","RdO","1","1","30000",,"29500","2","1","1","1","50","0"
"2018","PROVINCE","LAZIO","UMBRIA","RdO","3","4","30186,63",,"19341,18","4","4","2","2","67,5","46,5"
"2018","PROVINCE","MARCHE","UMBRIA","RdO","3","3","181360",,"151601,88","4,67","2","1","1","46,67","31,33"
"2018","PROVINCE","PUGLIA","UMBRIA","RdO","1","1","174562,8",,"106472,26","10","1","1","1","100","59"
"2018","PROVINCE","UMBRIA","UMBRIA","RdO","54","66","1408059,43",,"1303815,44","3,21","44","2","8","49,64","19,86"
"2018","PROVINCE","VENETO","UMBRIA","RdO","2","2","27640",,"20670","7","2","1","1","54","35"
"2018","PROVINCE","ABRUZZO","UMBRIA","RdO","1","1","4500",,"4015","4","1","1","1","86","79"
"2018","PROVINCE","LIGURIA","UMBRIA","RdO","1","1","14186,63",,"5956,38","8","1","1","1","60","0"
"2018","PROVINCE","SICILIA","UMBRIA","RdO","2","2","142406,82",,"131644","3","2","2","2","48","16"
"2018","PROVINCE","TOSCANA","UMBRIA","RdO","2","2","39062",,"33904,54","2,5","2","1","2","54","6,5"
"2018","PROVINCE","CALABRIA","UMBRIA","RdO","1","1","1800",,"6790","4","1","1","1","26","0"
"2018","PROVINCE","EMILIA ROMAGNA","UMBRIA","RdO","7","7","78597,84",,"62865,74","4,86","2","2","5","142","54"
"2018","PROVINCE","LAZIO","VENETO","RdO","9","9","339560",,"297010,5","3,22","9","5","8","61,67","9,44"
"2018","PROVINCE","MARCHE","VENETO","RdO","2","2","36900",,"29757","9","2","1","1","32,5","0"
"2018","PROVINCE","PUGLIA","VENETO","RdO","3","3","53350",,"42434,19","2,67","3","2","3","31,33","0"
"2018","PROVINCE","UMBRIA","VENETO","RdO","1","1","29950",,"29945","1","1","1","1","3","0"
"2018","PROVINCE","VENETO","VENETO","RdO","196","202","23545345,8",,"19186933,47","5,01","165","7","24","57,1","7,79"
"2018","PROVINCE","ABRUZZO","VENETO","RdO","1","1","195695,22",,"171739","2","1","1","1","47","0"
"2018","PROVINCE","LIGURIA","VENETO","RdO","1","1","2250",,"2200","1","1","1","1","3","0"
"2018","PROVINCE","SICILIA","VENETO","RdO","2","2","162512",,"152825","2,5","2","2","2","50,5","14"
"2018","PROVINCE","TOSCANA","VENETO","RdO","3","3","56000",,"37653,05","2,33","3","2","3","45,33","0"
"2018","PROVINCE","PIEMONTE","VENETO","RdO","3","3","33000",,"21540","1,33","3","1","1","41,67","0"
"2018","PROVINCE","LOMBARDIA","VENETO","RdO","27","27","1085088,95",,"801555,12","2,41","22","6","13","46,26","5,44"
"2018","PROVINCE","SAN MARINO","VENETO","RdO","1","1","22942,62",,"22942,62","4","1","1","1","61","0"
"2018","PROVINCE","EMILIA ROMAGNA","VENETO","RdO","8","9","274188",,"237316,64","2,22","8","3","6","32,44","1,11"
"2018","PROVINCE","TRENTINO ALTO ADIGE","VENETO","RdO","5","5","23900",,"19233,75","1,4","4","2","4","15,8","0,8"
"2018","PROVINCE","FRIULI VENEZIA GIULIA","VENETO","RdO","6","6","259007,74",,"236642,17","2,33","5","4","5","73,83","46,5"
"2018","PROVINCE","LAZIO","ABRUZZO","RdO","3","3","176169,55",,"147552,98","3,33","2","2","2","57,67","25"
"2018","PROVINCE","MARCHE","ABRUZZO","RdO","2","2","70747,54",,"63540,55","2,5","2","2","2","136,5","3"
"2018","PROVINCE","PUGLIA","ABRUZZO","RdO","1","1","27000",,"26600","1","1","1","1","74","53"
"2018","PROVINCE","UMBRIA","ABRUZZO","RdO","1","1","38200",,"24100","3","1","1","1","53","25"
"2018","PROVINCE","ABRUZZO","ABRUZZO","RdO","44","81","1826354,9",,"1494342,71","1,62","64","4","10","84,58","36,89"
"2018","PROVINCE","TOSCANA","ABRUZZO","RdO","2","2","117900",,"117757","3,5","2","1","2","48","3"
"2018","PROVINCE","LOMBARDIA","ABRUZZO","RdO","2","2","133360",,"124590","2","2","2","2","10,5","0"
