cod_amm	cod_prt_dom	progr_pdd	stato_pdd	ver_pdd
c_f604	ComuneDiMonteroniDiLecce	1	-	1.1
c_f682	ComuneMontoggio	1	-	1.1
c_f795	ComuneMuggia	1	-	1.1
c_f816	comunedimuroleccese	1	-	1.1
c_f842	ComuneDiNardo	1	-	1.1
c_f923	comunedinoicattaro	1	-	1.1
c_f926	ComuneNoli	1	-	1.1
c_f970	ComuneDiNovoli	1	-	1.1
c_fu3v	comunedisammicheledibari	1	-	1.1
c_g081	ComuneDiOppidoLucano	1	-	1.1
c_g136	comunediortelle	1	-	1.1
c_g238	ComunePagnacco	1	-	1.1
c_g284	ComunePalmanova	1	-	1.1
c_g291	comunedipalodelcolle	1	-	1.1
c_g353	ComunePasianoPordenone	1	-	1.1
c_g381	ComunePaularo	1	-	1.1
c_g389	ComunePaviaUdine	1	-	1.1
c_g751	comunedipoggiardo	1	-	1.1
c_g787	comunedipolignano	1	-	1.1
c_g888	ComuneDiPordenone	1	-	1.1
c_g969	ComunePradamano	1	-	1.1
c_g994	ComunePrataPordenone	1	-	1.1
c_h029	ComunePremariacco	1	-	1.1
c_h096	ComuneDiPutignano	1	-	1.1
c_h180	ComuneRanzo	1	-	1.1
c_h212	ComuneRecco	1	-	1.1
c_h452	ComuneRoccavignale	1	-	1.1
c_h461	ComuneRocchettadiVara	1	-	1.1
c_h501	ComuneRoma	1	Si	1.1
c_h501	ComuneRomaSistemiInformativi	2	Si	1.1
c_h536	ComuneRoncoScrivia	1	-	1.1
c_h612	ComuneDiRovereto	1	-	1.1
c_h629	ComuneRuda	1	-	1.1
c_h643	comunedirutigliano	1	-	1.1
c_h645	comunediruvodipuglia	1	-	1.1
c_h708	ComuneDiSaliceSalentino	1	-	1.1
c_h757	comunedisanarica	1	-	1.1
c_h787	ComuneSanCanziandIsonzo	1	-	1.1
c_h793	ComuneDiSanCesarioDiLecce	1	-	1.1
c_h802	ComuneSanColombano	1	-	1.1
c_h816	ComuneSanDanieleFriuli	1	-	1.1
c_h826	ComuneDiSanDonatoDiLecce	1	-	1.1
c_h906	ComuneSanGiovanniNatisone	1	-	1.1
c_h999	ComuneSanMartinoTagliamento	1	-	1.1
c_i011	ComuneDiSurbo	1	-	1.1
c_i053	comunedisannicandrodibari	1	-	1.1
c_i082	ComuneSanPierdIsonzo	1	-	1.1
c_i383	ComuneDiTrepuzzi	1	-	1.1
c_i404	ComuneSanVitoTorre	1	-	1.1
c_i475	ComuneSavignone	1	-	1.1
c_i711	ComuneDiVeglie	1	-	1.1
c_i776	ComuneDiVernole	1	-	1.1
c_i780	ComuneDiSoglianoCavour	1	-	1.1
c_i852	ComuneSori	1	-	1.1
c_i930	ComuneDiSquinzano	1	-	1.1
c_i946	ComuneStella	1	-	1.1
c_jz4m	ComuneSerraRicco	1	-	1.1
c_l010	comunedisurano	1	-	1.1
c_l039	ComuneTalmassons	1	-	1.1
c_l050	ComuneTarcento	1	-	1.1
c_l064	comuneditaurisano	1	-	1.1
c_l109	comunediterlizzi	1	-	1.1
c_l167	ComuneTiglieto	1	-	1.1
c_l219	ComuneTorino	1	Si	1.1
